report_date,week_end_date,geography_type,geography_name,vdh_health_region,facility_type,count_of_cli_visits,percent_of_cli_visits,st_date
2023-04-18,2020-09-05,Health District,Alexandria,Northern Region,Emergency Department,29,5,2020-08-30
2023-04-18,2020-09-12,Health District,Alexandria,Northern Region,Emergency Department,26,4,2020-09-06
2023-04-18,2020-09-19,Health District,Alexandria,Northern Region,Emergency Department,30,5,2020-09-13
2023-04-18,2020-09-26,Health District,Alexandria,Northern Region,Emergency Department,40,6,2020-09-20
2023-04-18,2020-10-03,Health District,Alexandria,Northern Region,Emergency Department,31,5,2020-09-27
2023-04-18,2020-10-10,Health District,Alexandria,Northern Region,Emergency Department,36,6,2020-10-04
2023-04-18,2020-10-17,Health District,Alexandria,Northern Region,Emergency Department,30,5,2020-10-11
2023-04-18,2020-10-24,Health District,Alexandria,Northern Region,Emergency Department,26,4,2020-10-18
2023-04-18,2020-10-31,Health District,Alexandria,Northern Region,Emergency Department,29,5,2020-10-25
2023-04-18,2020-11-07,Health District,Alexandria,Northern Region,Emergency Department,26,4,2020-11-01
2023-04-18,2020-11-14,Health District,Alexandria,Northern Region,Emergency Department,45,7,2020-11-08
2023-04-18,2020-11-21,Health District,Alexandria,Northern Region,Emergency Department,50,8,2020-11-15
2023-04-18,2020-11-28,Health District,Alexandria,Northern Region,Emergency Department,69,11,2020-11-22
2023-04-18,2020-12-05,Health District,Alexandria,Northern Region,Emergency Department,70,11,2020-11-29
2023-04-18,2020-12-12,Health District,Alexandria,Northern Region,Emergency Department,66,11,2020-12-06
2023-04-18,2020-12-19,Health District,Alexandria,Northern Region,Emergency Department,75,13,2020-12-13
2023-04-18,2020-12-26,Health District,Alexandria,Northern Region,Emergency Department,78,13,2020-12-20
2023-04-18,2021-01-02,Health District,Alexandria,Northern Region,Emergency Department,91,15,2020-12-27
2023-04-18,2021-01-09,Health District,Alexandria,Northern Region,Emergency Department,124,20,2021-01-03
2023-04-18,2021-01-16,Health District,Alexandria,Northern Region,Emergency Department,99,17,2021-01-10
2023-04-18,2021-01-23,Health District,Alexandria,Northern Region,Emergency Department,86,14,2021-01-17
2023-04-18,2021-01-30,Health District,Alexandria,Northern Region,Emergency Department,45,7,2021-01-24
2023-04-18,2021-02-06,Health District,Alexandria,Northern Region,Emergency Department,66,11,2021-01-31
2023-04-18,2021-02-13,Health District,Alexandria,Northern Region,Emergency Department,54,9,2021-02-07
2023-04-18,2021-02-20,Health District,Alexandria,Northern Region,Emergency Department,40,7,2021-02-14
2023-04-18,2021-02-27,Health District,Alexandria,Northern Region,Emergency Department,42,7,2021-02-21
2023-04-18,2021-03-06,Health District,Alexandria,Northern Region,Emergency Department,44,7,2021-02-28
2023-04-18,2021-03-13,Health District,Alexandria,Northern Region,Emergency Department,33,6,2021-03-07
2023-04-18,2021-03-20,Health District,Alexandria,Northern Region,Emergency Department,42,7,2021-03-14
2023-04-18,2021-03-27,Health District,Alexandria,Northern Region,Emergency Department,31,5,2021-03-21
2023-04-18,2021-04-03,Health District,Alexandria,Northern Region,Emergency Department,43,7,2021-03-28
2023-04-18,2021-04-10,Health District,Alexandria,Northern Region,Emergency Department,79,11,2021-04-04
2023-04-18,2021-04-17,Health District,Alexandria,Northern Region,Emergency Department,58,7,2021-04-11
2023-04-18,2021-04-24,Health District,Alexandria,Northern Region,Emergency Department,45,7,2021-04-18
2023-04-18,2021-05-01,Health District,Alexandria,Northern Region,Emergency Department,34,5,2021-04-25
2023-04-18,2021-05-08,Health District,Alexandria,Northern Region,Emergency Department,34,5,2021-05-02
2023-04-18,2021-05-15,Health District,Alexandria,Northern Region,Emergency Department,33,5,2021-05-09
2023-04-18,2021-05-22,Health District,Alexandria,Northern Region,Emergency Department,35,5,2021-05-16
2023-04-18,2021-05-29,Health District,Alexandria,Northern Region,Emergency Department,24,3,2021-05-23
2023-04-18,2021-06-05,Health District,Alexandria,Northern Region,Emergency Department,29,4,2021-05-30
2023-04-18,2021-06-12,Health District,Alexandria,Northern Region,Emergency Department,28,4,2021-06-06
2023-04-18,2021-06-19,Health District,Alexandria,Northern Region,Emergency Department,38,5,2021-06-13
2023-04-18,2021-06-26,Health District,Alexandria,Northern Region,Emergency Department,34,4,2021-06-20
2023-04-18,2021-07-03,Health District,Alexandria,Northern Region,Emergency Department,37,5,2021-06-27
2023-04-18,2021-07-10,Health District,Alexandria,Northern Region,Emergency Department,40,5,2021-07-04
2023-04-18,2021-07-17,Health District,Alexandria,Northern Region,Emergency Department,53,6,2021-07-11
2023-04-18,2021-07-24,Health District,Alexandria,Northern Region,Emergency Department,45,6,2021-07-18
2023-04-18,2021-07-31,Health District,Alexandria,Northern Region,Emergency Department,44,6,2021-07-25
2023-04-18,2021-08-07,Health District,Alexandria,Northern Region,Emergency Department,75,9,2021-08-01
2023-04-18,2021-08-14,Health District,Alexandria,Northern Region,Emergency Department,60,8,2021-08-08
2023-04-18,2021-08-21,Health District,Alexandria,Northern Region,Emergency Department,63,8,2021-08-15
2023-04-18,2021-08-28,Health District,Alexandria,Northern Region,Emergency Department,71,9,2021-08-22
2023-04-18,2021-09-04,Health District,Alexandria,Northern Region,Emergency Department,63,8,2021-08-29
2023-04-18,2021-09-11,Health District,Alexandria,Northern Region,Emergency Department,80,10,2021-09-05
2023-04-18,2021-09-18,Health District,Alexandria,Northern Region,Emergency Department,79,10,2021-09-12
2023-04-18,2021-09-25,Health District,Alexandria,Northern Region,Emergency Department,85,11,2021-09-19
2023-04-18,2021-10-02,Health District,Alexandria,Northern Region,Emergency Department,63,8,2021-09-26
2023-04-18,2021-10-09,Health District,Alexandria,Northern Region,Emergency Department,67,9,2021-10-03
2023-04-18,2021-10-16,Health District,Alexandria,Northern Region,Emergency Department,50,7,2021-10-10
2023-04-18,2021-10-23,Health District,Alexandria,Northern Region,Emergency Department,60,7,2021-10-17
2023-04-18,2021-10-30,Health District,Alexandria,Northern Region,Emergency Department,49,7,2021-10-24
2023-04-18,2021-11-06,Health District,Alexandria,Northern Region,Emergency Department,56,7,2021-10-31
2023-04-18,2021-11-13,Health District,Alexandria,Northern Region,Emergency Department,48,6,2021-11-07
2023-04-18,2021-11-20,Health District,Alexandria,Northern Region,Emergency Department,54,8,2021-11-14
2023-04-18,2021-11-27,Health District,Alexandria,Northern Region,Emergency Department,43,6,2021-11-21
2023-04-18,2021-12-04,Health District,Alexandria,Northern Region,Emergency Department,67,9,2021-11-28
2023-04-18,2021-12-11,Health District,Alexandria,Northern Region,Emergency Department,71,9,2021-12-05
2023-04-18,2021-12-18,Health District,Alexandria,Northern Region,Emergency Department,129,15,2021-12-12
2023-04-18,2021-12-25,Health District,Alexandria,Northern Region,Emergency Department,312,33,2021-12-19
2023-04-18,2022-01-01,Health District,Alexandria,Northern Region,Emergency Department,510,47,2021-12-26
2023-04-18,2022-01-08,Health District,Alexandria,Northern Region,Emergency Department,292,34,2022-01-02
2023-04-18,2022-01-15,Health District,Alexandria,Northern Region,Emergency Department,203,27,2022-01-09
2023-04-18,2022-01-22,Health District,Alexandria,Northern Region,Emergency Department,104,17,2022-01-16
2023-04-18,2022-01-29,Health District,Alexandria,Northern Region,Emergency Department,68,10,2022-01-23
2023-04-18,2022-02-05,Health District,Alexandria,Northern Region,Emergency Department,53,8,2022-01-30
2023-04-18,2022-02-12,Health District,Alexandria,Northern Region,Emergency Department,29,4,2022-02-06
2023-04-18,2022-02-19,Health District,Alexandria,Northern Region,Emergency Department,40,6,2022-02-13
2023-04-18,2022-02-26,Health District,Alexandria,Northern Region,Emergency Department,41,6,2022-02-20
2023-04-18,2022-03-05,Health District,Alexandria,Northern Region,Emergency Department,21,3,2022-02-27
2023-04-18,2022-03-12,Health District,Alexandria,Northern Region,Emergency Department,26,3,2022-03-06
2023-04-18,2022-03-19,Health District,Alexandria,Northern Region,Emergency Department,33,4,2022-03-13
2023-04-18,2022-03-26,Health District,Alexandria,Northern Region,Emergency Department,30,4,2022-03-20
2023-04-18,2022-04-02,Health District,Alexandria,Northern Region,Emergency Department,33,4,2022-03-27
2023-04-18,2022-04-09,Health District,Alexandria,Northern Region,Emergency Department,34,4,2022-04-03
2023-04-18,2022-04-16,Health District,Alexandria,Northern Region,Emergency Department,44,6,2022-04-10
2023-04-18,2022-04-23,Health District,Alexandria,Northern Region,Emergency Department,33,4,2022-04-17
2023-04-18,2022-04-30,Health District,Alexandria,Northern Region,Emergency Department,51,6,2022-04-24
2023-04-18,2022-05-07,Health District,Alexandria,Northern Region,Emergency Department,50,6,2022-05-01
2023-04-18,2022-05-14,Health District,Alexandria,Northern Region,Emergency Department,88,9,2022-05-08
2023-04-18,2022-05-21,Health District,Alexandria,Northern Region,Emergency Department,67,7,2022-05-15
2023-04-18,2022-05-28,Health District,Alexandria,Northern Region,Emergency Department,76,9,2022-05-22
2023-04-18,2022-06-04,Health District,Alexandria,Northern Region,Emergency Department,91,10,2022-05-29
2023-04-18,2022-06-11,Health District,Alexandria,Northern Region,Emergency Department,86,9,2022-06-05
2023-04-18,2022-06-18,Health District,Alexandria,Northern Region,Emergency Department,74,9,2022-06-12
2023-04-18,2022-06-25,Health District,Alexandria,Northern Region,Emergency Department,68,8,2022-06-19
2023-04-18,2022-07-02,Health District,Alexandria,Northern Region,Emergency Department,74,9,2022-06-26
2023-04-18,2022-07-09,Health District,Alexandria,Northern Region,Emergency Department,69,9,2022-07-03
2023-04-18,2022-07-16,Health District,Alexandria,Northern Region,Emergency Department,79,9,2022-07-10
2023-04-18,2022-07-23,Health District,Alexandria,Northern Region,Emergency Department,67,8,2022-07-17
2023-04-18,2022-07-30,Health District,Alexandria,Northern Region,Emergency Department,83,10,2022-07-24
2023-04-18,2022-08-06,Health District,Alexandria,Northern Region,Emergency Department,62,8,2022-07-31
2023-04-18,2022-08-13,Health District,Alexandria,Northern Region,Emergency Department,61,8,2022-08-07
2023-04-18,2022-08-20,Health District,Alexandria,Northern Region,Emergency Department,39,5,2022-08-14
2023-04-18,2022-08-27,Health District,Alexandria,Northern Region,Emergency Department,79,9,2022-08-21
2023-04-18,2022-09-03,Health District,Alexandria,Northern Region,Emergency Department,65,8,2022-08-28
2023-04-18,2022-09-10,Health District,Alexandria,Northern Region,Emergency Department,59,7,2022-09-04
2023-04-18,2022-09-17,Health District,Alexandria,Northern Region,Emergency Department,50,6,2022-09-11
2023-04-18,2022-09-24,Health District,Alexandria,Northern Region,Emergency Department,69,8,2022-09-18
2023-04-18,2022-10-01,Health District,Alexandria,Northern Region,Emergency Department,84,9,2022-09-25
2023-04-18,2022-10-08,Health District,Alexandria,Northern Region,Emergency Department,89,10,2022-10-02
2023-04-18,2022-10-15,Health District,Alexandria,Northern Region,Emergency Department,90,9,2022-10-09
2023-04-18,2022-10-22,Health District,Alexandria,Northern Region,Emergency Department,64,7,2022-10-16
2023-04-18,2022-10-29,Health District,Alexandria,Northern Region,Emergency Department,97,10,2022-10-23
2023-04-18,2022-11-05,Health District,Alexandria,Northern Region,Emergency Department,125,12,2022-10-30
2023-04-18,2022-11-12,Health District,Alexandria,Northern Region,Emergency Department,86,9,2022-11-06
2023-04-18,2022-11-19,Health District,Alexandria,Northern Region,Emergency Department,84,9,2022-11-13
2023-04-18,2022-11-26,Health District,Alexandria,Northern Region,Emergency Department,93,10,2022-11-20
2023-04-18,2022-12-03,Health District,Alexandria,Northern Region,Emergency Department,81,9,2022-11-27
2023-04-18,2022-12-10,Health District,Alexandria,Northern Region,Emergency Department,84,10,2022-12-04
2023-04-18,2022-12-17,Health District,Alexandria,Northern Region,Emergency Department,92,11,2022-12-11
2023-04-18,2022-12-24,Health District,Alexandria,Northern Region,Emergency Department,88,11,2022-12-18
2023-04-18,2022-12-31,Health District,Alexandria,Northern Region,Emergency Department,107,13,2022-12-25
2023-04-18,2023-01-07,Health District,Alexandria,Northern Region,Emergency Department,95,11,2023-01-01
2023-04-18,2023-01-14,Health District,Alexandria,Northern Region,Emergency Department,94,11,2023-01-08
2023-04-18,2023-01-21,Health District,Alexandria,Northern Region,Emergency Department,91,11,2023-01-15
2023-04-18,2023-01-28,Health District,Alexandria,Northern Region,Emergency Department,60,7,2023-01-22
2023-04-18,2023-02-04,Health District,Alexandria,Northern Region,Emergency Department,72,9,2023-01-29
2023-04-18,2023-02-11,Health District,Alexandria,Northern Region,Emergency Department,61,7,2023-02-05
2023-04-18,2023-02-18,Health District,Alexandria,Northern Region,Emergency Department,62,7,2023-02-12
2023-04-18,2023-02-25,Health District,Alexandria,Northern Region,Emergency Department,58,7,2023-02-19
2023-04-18,2023-03-04,Health District,Alexandria,Northern Region,Emergency Department,60,7,2023-02-26
2023-04-18,2023-03-11,Health District,Alexandria,Northern Region,Emergency Department,45,5,2023-03-05
2023-04-18,2023-03-18,Health District,Alexandria,Northern Region,Emergency Department,40,5,2023-03-12
2023-04-18,2023-03-25,Health District,Alexandria,Northern Region,Emergency Department,40,5,2023-03-19
2023-04-18,2023-04-01,Health District,Alexandria,Northern Region,Emergency Department,28,3,2023-03-26
2023-04-18,2023-04-08,Health District,Alexandria,Northern Region,Emergency Department,46,5,2023-04-02
2023-04-18,2023-04-15,Health District,Alexandria,Northern Region,Emergency Department,45,5,2023-04-09
2023-04-18,2020-03-07,Health District,Alexandria,Northern Region,Urgent Care,19,7,2020-03-01
2023-04-18,2020-03-14,Health District,Alexandria,Northern Region,Urgent Care,12,5,2020-03-08
2023-04-18,2020-03-21,Health District,Alexandria,Northern Region,Urgent Care,6,4,2020-03-15
2023-04-18,2020-03-28,Health District,Alexandria,Northern Region,Urgent Care,8,7,2020-03-22
2023-04-18,2020-04-04,Health District,Alexandria,Northern Region,Urgent Care,10,10,2020-03-29
2023-04-18,2020-04-11,Health District,Alexandria,Northern Region,Urgent Care,9,11,2020-04-05
2023-04-18,2020-04-18,Health District,Alexandria,Northern Region,Urgent Care,10,10,2020-04-12
2023-04-18,2020-04-25,Health District,Alexandria,Northern Region,Urgent Care,15,14,2020-04-19
2023-04-18,2020-05-02,Health District,Alexandria,Northern Region,Urgent Care,20,16,2020-04-26
2023-04-18,2020-05-09,Health District,Alexandria,Northern Region,Urgent Care,27,20,2020-05-03
2023-04-18,2020-05-16,Health District,Alexandria,Northern Region,Urgent Care,52,33,2020-05-10
2023-04-18,2020-05-23,Health District,Alexandria,Northern Region,Urgent Care,60,34,2020-05-17
2023-04-18,2020-05-30,Health District,Alexandria,Northern Region,Urgent Care,64,38,2020-05-24
2023-04-18,2020-06-06,Health District,Alexandria,Northern Region,Urgent Care,74,39,2020-05-31
2023-04-18,2020-06-13,Health District,Alexandria,Northern Region,Urgent Care,87,40,2020-06-07
2023-04-18,2020-06-20,Health District,Alexandria,Northern Region,Urgent Care,76,40,2020-06-14
2023-04-18,2020-06-27,Health District,Alexandria,Northern Region,Urgent Care,78,39,2020-06-21
2023-04-18,2020-07-04,Health District,Alexandria,Northern Region,Urgent Care,99,39,2020-06-28
2023-04-18,2020-07-11,Health District,Alexandria,Northern Region,Urgent Care,100,37,2020-07-05
2023-04-18,2020-07-18,Health District,Alexandria,Northern Region,Urgent Care,109,38,2020-07-12
2023-04-18,2020-07-25,Health District,Alexandria,Northern Region,Urgent Care,69,30,2020-07-19
2023-04-18,2020-08-01,Health District,Alexandria,Northern Region,Urgent Care,49,22,2020-07-26
2023-04-18,2020-08-08,Health District,Alexandria,Northern Region,Urgent Care,48,21,2020-08-02
2023-04-18,2020-08-15,Health District,Alexandria,Northern Region,Urgent Care,65,27,2020-08-09
2023-04-18,2020-08-22,Health District,Alexandria,Northern Region,Urgent Care,56,24,2020-08-16
2023-04-18,2020-08-29,Health District,Alexandria,Northern Region,Urgent Care,88,30,2020-08-23
2023-04-18,2020-09-05,Health District,Alexandria,Northern Region,Urgent Care,90,33,2020-08-30
2023-04-18,2020-09-12,Health District,Alexandria,Northern Region,Urgent Care,94,37,2020-09-06
2023-04-18,2020-09-19,Health District,Alexandria,Northern Region,Urgent Care,82,32,2020-09-13
2023-04-18,2020-09-26,Health District,Alexandria,Northern Region,Urgent Care,104,35,2020-09-20
2023-04-18,2020-10-03,Health District,Alexandria,Northern Region,Urgent Care,105,38,2020-09-27
2023-04-18,2020-10-10,Health District,Alexandria,Northern Region,Urgent Care,107,38,2020-10-04
2023-04-18,2020-10-17,Health District,Alexandria,Northern Region,Urgent Care,74,30,2020-10-11
2023-04-18,2020-10-24,Health District,Alexandria,Northern Region,Urgent Care,88,32,2020-10-18
2023-04-18,2020-10-31,Health District,Alexandria,Northern Region,Urgent Care,69,29,2020-10-25
2023-04-18,2020-11-07,Health District,Alexandria,Northern Region,Urgent Care,92,35,2020-11-01
2023-04-18,2020-11-14,Health District,Alexandria,Northern Region,Urgent Care,106,37,2020-11-08
2023-04-18,2020-11-21,Health District,Alexandria,Northern Region,Urgent Care,155,48,2020-11-15
2023-04-18,2020-11-28,Health District,Alexandria,Northern Region,Urgent Care,143,44,2020-11-22
2023-04-18,2020-12-05,Health District,Alexandria,Northern Region,Urgent Care,135,43,2020-11-29
2023-04-18,2020-12-12,Health District,Alexandria,Northern Region,Urgent Care,133,44,2020-12-06
2023-04-18,2020-12-19,Health District,Alexandria,Northern Region,Urgent Care,138,43,2020-12-13
2023-04-18,2020-12-26,Health District,Alexandria,Northern Region,Urgent Care,177,49,2020-12-20
2023-04-18,2021-01-02,Health District,Alexandria,Northern Region,Urgent Care,160,44,2020-12-27
2023-04-18,2021-01-09,Health District,Alexandria,Northern Region,Urgent Care,155,46,2021-01-03
2023-04-18,2021-01-16,Health District,Alexandria,Northern Region,Urgent Care,109,40,2021-01-10
2023-04-18,2021-01-23,Health District,Alexandria,Northern Region,Urgent Care,94,35,2021-01-17
2023-04-18,2021-01-30,Health District,Alexandria,Northern Region,Urgent Care,81,34,2021-01-24
2023-04-18,2021-02-06,Health District,Alexandria,Northern Region,Urgent Care,85,40,2021-01-31
2023-04-18,2021-02-13,Health District,Alexandria,Northern Region,Urgent Care,73,36,2021-02-07
2023-04-18,2021-02-20,Health District,Alexandria,Northern Region,Urgent Care,58,27,2021-02-14
2023-04-18,2021-02-27,Health District,Alexandria,Northern Region,Urgent Care,51,25,2021-02-21
2023-04-18,2021-03-06,Health District,Alexandria,Northern Region,Urgent Care,59,25,2021-02-28
2023-04-18,2021-03-13,Health District,Alexandria,Northern Region,Urgent Care,57,29,2021-03-07
2023-04-18,2021-03-20,Health District,Alexandria,Northern Region,Urgent Care,56,28,2021-03-14
2023-04-18,2021-03-27,Health District,Alexandria,Northern Region,Urgent Care,46,23,2021-03-21
2023-04-18,2021-04-03,Health District,Alexandria,Northern Region,Urgent Care,61,30,2021-03-28
2023-04-18,2021-04-10,Health District,Alexandria,Northern Region,Urgent Care,54,28,2021-04-04
2023-04-18,2021-04-17,Health District,Alexandria,Northern Region,Urgent Care,47,22,2021-04-11
2023-04-18,2021-04-24,Health District,Alexandria,Northern Region,Urgent Care,22,12,2021-04-18
2023-04-18,2021-05-01,Health District,Alexandria,Northern Region,Urgent Care,27,15,2021-04-25
2023-04-18,2021-05-08,Health District,Alexandria,Northern Region,Urgent Care,28,16,2021-05-02
2023-04-18,2021-05-15,Health District,Alexandria,Northern Region,Urgent Care,20,11,2021-05-09
2023-04-18,2021-05-22,Health District,Alexandria,Northern Region,Urgent Care,28,12,2021-05-16
2023-04-18,2021-05-29,Health District,Alexandria,Northern Region,Urgent Care,25,12,2021-05-23
2023-04-18,2021-06-05,Health District,Alexandria,Northern Region,Urgent Care,26,13,2021-05-30
2023-04-18,2021-06-12,Health District,Alexandria,Northern Region,Urgent Care,13,7,2021-06-06
2023-04-18,2021-06-19,Health District,Alexandria,Northern Region,Urgent Care,22,10,2021-06-13
2023-04-18,2021-06-26,Health District,Alexandria,Northern Region,Urgent Care,21,9,2021-06-20
2023-04-18,2021-07-03,Health District,Alexandria,Northern Region,Urgent Care,30,13,2021-06-27
2023-04-18,2021-07-10,Health District,Alexandria,Northern Region,Urgent Care,33,15,2021-07-04
2023-04-18,2021-07-17,Health District,Alexandria,Northern Region,Urgent Care,38,16,2021-07-11
2023-04-18,2021-07-24,Health District,Alexandria,Northern Region,Urgent Care,49,16,2021-07-18
2023-04-18,2021-07-31,Health District,Alexandria,Northern Region,Urgent Care,34,11,2021-07-25
2023-04-18,2021-08-07,Health District,Alexandria,Northern Region,Urgent Care,55,18,2021-08-01
2023-04-18,2021-08-14,Health District,Alexandria,Northern Region,Urgent Care,54,18,2021-08-08
2023-04-18,2021-08-21,Health District,Alexandria,Northern Region,Urgent Care,68,23,2021-08-15
2023-04-18,2021-08-28,Health District,Alexandria,Northern Region,Urgent Care,58,21,2021-08-22
2023-04-18,2021-09-04,Health District,Alexandria,Northern Region,Urgent Care,47,17,2021-08-29
2023-04-18,2021-09-11,Health District,Alexandria,Northern Region,Urgent Care,51,17,2021-09-05
2023-04-18,2021-09-18,Health District,Alexandria,Northern Region,Urgent Care,44,16,2021-09-12
2023-04-18,2021-09-25,Health District,Alexandria,Northern Region,Urgent Care,36,16,2021-09-19
2023-04-18,2021-10-02,Health District,Alexandria,Northern Region,Urgent Care,33,14,2021-09-26
2023-04-18,2021-10-09,Health District,Alexandria,Northern Region,Urgent Care,25,12,2021-10-03
2023-04-18,2021-10-16,Health District,Alexandria,Northern Region,Urgent Care,23,13,2021-10-10
2023-04-18,2021-10-23,Health District,Alexandria,Northern Region,Urgent Care,17,8,2021-10-17
2023-04-18,2021-10-30,Health District,Alexandria,Northern Region,Urgent Care,19,9,2021-10-24
2023-04-18,2021-11-06,Health District,Alexandria,Northern Region,Urgent Care,23,11,2021-10-31
2023-04-18,2021-11-13,Health District,Alexandria,Northern Region,Urgent Care,27,12,2021-11-07
2023-04-18,2021-11-20,Health District,Alexandria,Northern Region,Urgent Care,20,10,2021-11-14
2023-04-18,2021-11-27,Health District,Alexandria,Northern Region,Urgent Care,32,16,2021-11-21
2023-04-18,2021-12-04,Health District,Alexandria,Northern Region,Urgent Care,43,19,2021-11-28
2023-04-18,2021-12-11,Health District,Alexandria,Northern Region,Urgent Care,51,22,2021-12-05
2023-04-18,2021-12-18,Health District,Alexandria,Northern Region,Urgent Care,77,30,2021-12-12
2023-04-18,2021-12-25,Health District,Alexandria,Northern Region,Urgent Care,146,39,2021-12-19
2023-04-18,2022-01-01,Health District,Alexandria,Northern Region,Urgent Care,170,49,2021-12-26
2023-04-18,2022-01-08,Health District,Alexandria,Northern Region,Urgent Care,142,43,2022-01-02
2023-04-18,2022-01-15,Health District,Alexandria,Northern Region,Urgent Care,84,30,2022-01-09
2023-04-18,2022-01-22,Health District,Alexandria,Northern Region,Urgent Care,35,18,2022-01-16
2023-04-18,2022-01-29,Health District,Alexandria,Northern Region,Urgent Care,27,16,2022-01-23
2023-04-18,2022-02-05,Health District,Alexandria,Northern Region,Urgent Care,20,13,2022-01-30
2023-04-18,2022-02-12,Health District,Alexandria,Northern Region,Urgent Care,11,8,2022-02-06
2023-04-18,2022-02-19,Health District,Alexandria,Northern Region,Urgent Care,10,7,2022-02-13
2023-04-18,2022-02-26,Health District,Alexandria,Northern Region,Urgent Care,9,7,2022-02-20
2023-04-18,2022-03-05,Health District,Alexandria,Northern Region,Urgent Care,9,5,2022-02-27
2023-04-18,2022-03-12,Health District,Alexandria,Northern Region,Urgent Care,10,6,2022-03-06
2023-04-18,2022-03-19,Health District,Alexandria,Northern Region,Urgent Care,11,6,2022-03-13
2023-04-18,2022-03-26,Health District,Alexandria,Northern Region,Urgent Care,18,10,2022-03-20
2023-04-18,2022-04-02,Health District,Alexandria,Northern Region,Urgent Care,10,6,2022-03-27
2023-04-18,2022-04-09,Health District,Alexandria,Northern Region,Urgent Care,16,8,2022-04-03
2023-04-18,2022-04-16,Health District,Alexandria,Northern Region,Urgent Care,14,8,2022-04-10
2023-04-18,2022-04-23,Health District,Alexandria,Northern Region,Urgent Care,16,9,2022-04-17
2023-04-18,2022-04-30,Health District,Alexandria,Northern Region,Urgent Care,14,7,2022-04-24
2023-04-18,2022-05-07,Health District,Alexandria,Northern Region,Urgent Care,19,9,2022-05-01
2023-04-18,2022-05-14,Health District,Alexandria,Northern Region,Urgent Care,41,17,2022-05-08
2023-04-18,2022-05-21,Health District,Alexandria,Northern Region,Urgent Care,43,18,2022-05-15
2023-04-18,2022-05-28,Health District,Alexandria,Northern Region,Urgent Care,33,16,2022-05-22
2023-04-18,2022-06-04,Health District,Alexandria,Northern Region,Urgent Care,38,16,2022-05-29
2023-04-18,2022-06-11,Health District,Alexandria,Northern Region,Urgent Care,49,20,2022-06-05
2023-04-18,2022-06-18,Health District,Alexandria,Northern Region,Urgent Care,46,20,2022-06-12
2023-04-18,2022-06-25,Health District,Alexandria,Northern Region,Urgent Care,32,13,2022-06-19
2023-04-18,2022-07-02,Health District,Alexandria,Northern Region,Urgent Care,44,18,2022-06-26
2023-04-18,2022-07-09,Health District,Alexandria,Northern Region,Urgent Care,37,20,2022-07-03
2023-04-18,2022-07-16,Health District,Alexandria,Northern Region,Urgent Care,40,19,2022-07-10
2023-04-18,2022-07-23,Health District,Alexandria,Northern Region,Urgent Care,39,19,2022-07-17
2023-04-18,2022-07-30,Health District,Alexandria,Northern Region,Urgent Care,38,17,2022-07-24
